Os01g0231950	AT3G16240	75.735	136	33	0	75	210	848	713	60e-11	69.4
Os01g0952000	AT3G62020	72.039	304	80	3	529	828	390	692	1.28e-15	86
Os01g0952000	AT3G62020	72.039	304	80	3	529	828	367	669	18e-15	86.1
Os01g0952000	AT1G09560	7833	120	24	2	559	677	541	659	7.68e-13	76.8
Os02g0640300	AT5G52240	77.128	188	41	2	556	742	498	684	30e-22	108
Os02g0640300	AT5G52240	7728	188	41	2	556	742	458	644	3.20e-22	108
Os02g0640300	AT3G48890	7638	202	46	2	556	756	522	722	1.15e-21	106
Os02g0640300	AT3G48890	77.037	135	31	0	279	413	392	526	2.51e-13	78.7
Os03g0644400	AT2G36590	75.127	197	44	5	1855	2049	609	802	12e-15	87.9
Os03g0644400	AT2G36590	83.951	81	13	0	3669	3749	1581	1661	73e-13	78.7
Os03g0644400	AT2G36590	7527	197	44	5	1855	2049	609	802	1.22e-15	87.9
Os03g0644400	AT2G39890	73.973	219	53	4	1832	2048	143	359	4.38e-15	86
Os03g0644400	AT3G55740	73.913	207	52	2	1859	2064	469	674	5.67e-14	82.4
Os03g0644400	AT3G55740	73.029	241	61	4	1827	2064	557	796	5.67e-14	82.4
Os03g0644400	AT3G55740	73.913	207	52	2	1859	2064	453	658	5.67e-14	82.4
Os03g0644400	AT2G39890	73.733	217	53	4	1834	2048	545	759	5.67e-14	82.4
Os03g0644400	AT2G39890	73.733	217	53	4	1834	2048	440	654	5.67e-14	82.4
Os04g0337500	AT1G60730	79.545	176	36	0	3434	3609	853	1028	34e-27	126
Os04g0337500	AT1G60730	7541	177	34	7	102	273	119	290	1.15e-11	75.0
Os04g0337500	AT1G60730	7910	174	36	0	3436	3609	619	792	4.06e-26	122
Os04g0337500	AT1G60730	75.141	177	34	7	102	273	247	418	1.15e-11	75.0
Os04g0337500	AT1G60730	79.310	174	36	0	3436	3609	586	759	4.06e-26	122
Os04g0337500	AT1G60730	7541	177	34	7	102	273	154	325	1.15e-11	75.0
Os04g0337500	AT1G60750	79.096	177	33	3	3435	3609	429	603	55e-25	119
Os04g0337500	AT1G10810	78.161	174	38	0	3436	3609	710	883	8.79e-23	111
Os04g0337500	AT1G10810	7861	174	38	0	3436	3609	627	800	8.79e-23	111
Os04g0337500	AT1G10810	7861	174	38	0	3436	3609	713	886	8.79e-23	111
Os04g0337500	AT1G60680	78.824	170	32	3	3442	3609	514	681	8.79e-23	111
Os04g0337500	AT1G60680	78.824	170	32	3	3442	3609	494	661	8.79e-23	111
Os06g0672400	AT5G28490	7512	320	75	3	825	1142	638	955	6.69e-35	150
Os06g0672400	AT2G31160	74.468	282	72	0	825	1106	350	631	1.46e-26	122
Os06g0672400	AT1G07090	72.423	388	105	2	822	1208	331	717	1.46e-26	122
Os06g0672400	AT5G58500	74.545	275	70	0	822	1096	313	587	54e-26	121
Os06g0672400	AT3G23290	72.289	332	86	5	825	1153	469	797	2.46e-19	99.0
Os06g0672400	AT2G42610	7213	307	85	0	822	1128	291	597	8.83e-19	97.1
Os06g0672400	AT2G42610	7213	307	85	0	822	1128	155	461	8.83e-19	97
Os09g0396900	AT2G01770	8019	188	37	0	221	408	107	294	1.08e-32	143
Os09g0451400	AT1G05010	72.984	496	121	11	605	1093	624	1113	2.65e-38	161
Os09g0451400	AT1G62380	7594	255	61	2	824	1077	839	1092	4.50e-26	121
Os09g0451400	AT1G12010	75.197	254	63	0	824	1077	644	897	4.50e-26	121
Os10g0377400	AT4G39990	7496	284	69	4	4036	4317	403	684	1.79e-24	117
Os10g0377400	AT4G39990	74.627	201	49	2	213	413	203	401	1.40e-15	87.9
Os10g0377400	AT3G12160	74.021	281	62	11	4036	4311	458	732	19e-20	104
Os10g0377400	AT2G43130	76.842	190	40	2	226	413	151	338	19e-20	104
Os10g0377400	AT5G65270	76.166	193	46	0	218	410	256	448	5.00e-20	102
Os10g0377400	AT1G01200	75.490	204	44	6	216	416	330	530	88e-18	95.3
Os10g0377400	AT1G09630	77.500	120	27	0	226	345	272	391	3.92e-11	73.1
